Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-12-16,Rutgers Scarlet Knights,LIU Sharks,137.3,9,144,2023-12-16,0,6.699999999999989,6.699999999999989
2023-12-16,Niagara Purple Eagles,NJIT Highlanders,141.0,9,170,2023-12-16,0,29.0,29.0
2023-12-16,Providence Friars,Sacred Heart Pioneers,141.9,9,142,2023-12-16,0,0.09999999999999432,0.09999999999999432
2023-12-16,Drexel Dragons,Albany Great Danes,138.1,9,123,2023-12-16,0,-15.099999999999994,15.099999999999994
2023-12-16,Michigan St Spartans,Baylor Bears,144.4,12,152,2023-12-16,0,7.599999999999994,7.599999999999994
2023-12-16,Bryant Bulldogs,Towson Tigers,132.8,7,194,2023-12-16,0,61.19999999999999,61.19999999999999
2023-12-16,Le Moyne Dolphins,Dartmouth Big Green,137.9,7,134,2023-12-16,0,-3.9000000000000057,3.9000000000000057
2023-12-16,Mercer Bears,Florida Gulf Coast Eagles,134.2,9,135,2023-12-16,0,0.8000000000000114,0.8000000000000114
2023-12-16,Hampton Pirates,James Madison Dukes,162.8,10,159,2023-12-16,0,-3.8000000000000114,3.8000000000000114
2023-12-16,Hofstra Pride,Norfolk St Spartans,139.7,8,132,2023-12-16,0,-7.699999999999989,7.699999999999989
2023-12-16,Presbyterian Blue Hose,Kennesaw St Owls,157.2,9,178,2023-12-16,0,20.80000000000001,20.80000000000001
2023-12-16,Monmouth Hawks,Rider Broncs,143.0,12,148,2023-12-16,0,5.0,5.0
2023-12-16,Tulane Green Wave,Southern Jaguars,160.5,9,186,2023-12-16,0,25.5,25.5
2023-12-16,VCU Rams,Temple Owls,137.3,11,165,2023-12-16,0,27.69999999999999,27.69999999999999
2023-12-16,UIC Flames,Western Michigan Broncos,135.6,12,157,2023-12-16,0,21.400000000000006,21.400000000000006
2023-12-16,Notre Dame Fighting Irish,Georgetown Hoyas,138.7,12,140,2023-12-16,0,1.3000000000000114,1.3000000000000114
2023-12-16,Michigan Wolverines,Eastern Michigan Eagles,145.9,11,149,2023-12-16,0,3.0999999999999943,3.0999999999999943
2023-12-16,Houston Cougars,Texas A&M Aggies,130.6,11,136,2023-12-16,0,5.400000000000006,5.400000000000006
2023-12-16,Western Kentucky Hilltoppers,Austin Peay Governors,143.4,9,129,2023-12-16,0,-14.400000000000006,14.400000000000006
2023-12-16,Samford Bulldogs,Belmont Bruins,168.0,12,192,2023-12-16,0,24.0,24.0
2023-12-16,Memphis Tigers,Clemson Tigers,151.0,12,156,2023-12-16,0,5.0,5.0
2023-12-16,Georgia Southern Eagles,UNC Wilmington Seahawks,143.1,12,159,2023-12-16,0,15.900000000000006,15.900000000000006
2023-12-16,Tulsa Golden Hurricane,Missouri St Bears,142.0,12,145,2023-12-16,0,3.0,3.0
2023-12-16,Northwestern St Demons,Rice Owls,153.3,9,127,2023-12-16,0,-26.30000000000001,26.30000000000001
2023-12-16,Ohio State Buckeyes,UCLA Bruins,133.5,11,127,2023-12-16,0,-6.5,6.5
2023-12-16,Bucknell Bison,Radford Highlanders,134.5,8,133,2023-12-16,0,-1.5,1.5
2023-12-16,St. John's Red Storm,Fordham Rams,148.2,10,132,2023-12-16,0,-16.19999999999999,16.19999999999999
2023-12-16,Bellarmine Knights,Evansville Purple Aces,140.5,9,131,2023-12-16,0,-9.5,9.5
2023-12-16,Valparaiso Beacons,Chicago St Cougars,136.0,9,125,2023-12-16,0,-11.0,11.0
2023-12-16,St. Bonaventure Bonnies,Florida Atlantic Owls,148.0,12,118,2023-12-16,0,-30.0,30.0
2023-12-16,South Florida Bulls,Loyola (Chi) Ramblers,143.5,12,141,2023-12-16,0,-2.5,2.5
2023-12-16,Murray St Racers,SE Louisiana Lions,146.1,9,116,2023-12-16,0,-30.099999999999994,30.099999999999994
2023-12-16,Tennessee Tech Golden Eagles,North Alabama Lions,146.1,9,137,2023-12-16,0,-9.099999999999994,9.099999999999994
2023-12-16,Northern Arizona Lumberjacks,Southern Utah Thunderbirds,149.6,12,150,2023-12-16,0,0.4000000000000057,0.4000000000000057
2023-12-16,Utah State Aggies,San Francisco Dons,139.7,12,107,2023-12-16,0,-32.69999999999999,32.69999999999999
2023-12-16,Utah Utes,Utah Valley Wolverines,142.7,12,138,2023-12-16,0,-4.699999999999989,4.699999999999989
2023-12-16,Virginia Tech Hokies,Vermont Catamounts,138.4,8,124,2023-12-16,0,-14.400000000000006,14.400000000000006
2023-12-16,Purdue Boilermakers,Arizona Wildcats,159.6,12,176,2023-12-16,0,16.400000000000006,16.400000000000006
2023-12-16,Delaware Blue Hens,Rhode Island Rams,145.3,12,123,2023-12-16,0,-22.30000000000001,22.30000000000001
2023-12-16,Iowa Hawkeyes,Florida A&M Rattlers,152.3,9,140,2023-12-16,0,-12.300000000000011,12.300000000000011
2023-12-16,UT-Arlington Mavericks,Air Force Falcons,131.0,12,149,2023-12-16,0,18.0,18.0
2023-12-16,DePaul Blue Demons,Northwestern Wildcats,141.7,12,102,2023-12-16,0,-39.69999999999999,39.69999999999999
2023-12-16,Georgia Bulldogs,High Point Panthers,150.6,9,124,2023-12-16,0,-26.599999999999994,26.599999999999994
2023-12-16,Arkansas Razorbacks,Lipscomb Bisons,153.5,9,135,2023-12-16,0,-18.5,18.5
2023-12-16,South Carolina Gamecocks,Charleston Southern Buccaneers,133.6,9,142,2023-12-16,0,8.400000000000006,8.400000000000006
2023-12-16,George Mason Patriots,Loyola (MD) Greyhounds,135.2,8,116,2023-12-16,0,-19.19999999999999,19.19999999999999
2023-12-16,Virginia Cavaliers,Northeastern Huskies,127.2,10,110,2023-12-16,0,-17.200000000000003,17.200000000000003
2023-12-16,Massachusetts Minutemen,West Virginia Mountaineers,146.1,10,166,2023-12-16,0,19.900000000000006,19.900000000000006
2023-12-17,Fort Wayne Mastodons,Bethune-Cookman Wildcats,154.6,9,149,2023-12-16,-1,-5.599999999999994,5.599999999999994
2023-12-17,Richmond Spiders,Charlotte 49ers,133.7,11,120,2023-12-16,-1,-13.699999999999989,13.699999999999989
2023-12-17,Cincinnati Bearcats,Dayton Flyers,139.8,11,150,2023-12-16,-1,10.199999999999989,10.199999999999989
2023-12-17,Marshall Thundering Herd,UNC Greensboro Spartans,154.6,12,137,2023-12-16,-1,-17.599999999999994,17.599999999999994
2023-12-17,Wichita St Shockers,Southern Illinois Salukis,141.7,12,137,2023-12-16,-1,-4.699999999999989,4.699999999999989
2023-12-17,Texas Tech Red Raiders,Vanderbilt Commodores,140.5,12,130,2023-12-16,-1,-10.5,10.5
2023-12-17,Xavier Musketeers,Winthrop Eagles,154.3,9,134,2023-12-16,-1,-20.30000000000001,20.30000000000001
2023-12-17,Alabama A&M Bulldogs,Chattanooga Mocs,150.2,9,160,2023-12-16,-1,9.800000000000011,9.800000000000011
2023-12-17,Creighton Bluejays,Alabama Crimson Tide,165.9,12,167,2023-12-16,-1,1.0999999999999943,1.0999999999999943
2023-12-17,Florida St Seminoles,SMU Mustangs,147.0,11,125,2023-12-16,-1,-22.0,22.0
2023-12-17,Saint Louis Billikens,Louisiana Tech Bulldogs,141.5,12,149,2023-12-16,-1,7.5,7.5
2023-12-17,TCU Horned Frogs,Arizona St Sun Devils,152.0,11,138,2023-12-16,-1,-14.0,14.0
2023-12-17,BYU Cougars,Georgia St Panthers,149.5,11,140,2023-12-16,-1,-9.5,9.5
2023-12-17,Oklahoma Sooners,Green Bay Phoenix,135.4,12,128,2023-12-16,-1,-7.400000000000006,7.400000000000006
2023-12-17,Utah Tech Trailblazers,North Dakota Fighting Hawks,140.8,10,141,2023-12-16,-1,0.19999999999998863,0.19999999999998863
2023-12-17,Wyoming Cowboys,Weber State Wildcats,133.9,11,155,2023-12-16,-1,21.099999999999994,21.099999999999994
2023-12-17,Grand Canyon Antelopes,Portland Pilots,154.4,10,154,2023-12-16,-1,-0.4000000000000057,0.4000000000000057
2023-12-17,North Carolina A&T Aggies,Texas Southern Tigers,145.1,9,164,2023-12-16,-1,18.900000000000006,18.900000000000006
2023-12-17,Tennessee Volunteers,NC State Wolfpack,149.2,10,149,2023-12-16,-1,-0.19999999999998863,0.19999999999998863
2023-12-31,Green Bay Phoenix,Robert Morris Colonials,137.2,12,139,2023-12-31,0,1.8000000000000114,1.8000000000000114
2023-12-31,Iowa State Cyclones,New Hampshire Wildcats,149.9,9,155,2023-12-31,0,5.099999999999994,5.099999999999994
