Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Deviation,Abs_Deviation
2023-11-19,Indiana Hoosiers,UConn Huskies,144.6,14,134,-10.599999999999994,10.599999999999994
2023-11-19,UMBC Retrievers,Loyola (MD) Greyhounds,148.6,4,173,24.400000000000006,24.400000000000006
2023-11-19,South Alabama Jaguars,SIU-Edwardsville Cougars,129.8,13,160,30.19999999999999,30.19999999999999
2023-11-19,William & Mary Tribe,Lindenwood Lions,146.7,13,131,-15.699999999999989,15.699999999999989
2023-11-19,Stephen F. Austin Lumberjacks,Loyola Marymount Lions,149.8,13,162,12.199999999999989,12.199999999999989
2023-11-19,Quinnipiac Bobcats,Albany Great Danes,151.2,10,167,15.800000000000011,15.800000000000011
2023-11-19,Georgia St Panthers,Arkansas-Little Rock Trojans,153.4,10,165,11.599999999999994,11.599999999999994
2023-11-19,Chattanooga Mocs,Tennessee Tech Golden Eagles,148.5,14,131,-17.5,17.5
2023-11-19,Cincinnati Bearcats,Northern Kentucky Norse,137.6,14,156,18.400000000000006,18.400000000000006
2023-11-19,Drexel Dragons,Queens University Royals,139.2,3,114,-25.19999999999999,25.19999999999999
2023-11-19,East Carolina Pirates,Northeastern Huskies,142.2,13,158,15.800000000000011,15.800000000000011
2023-11-19,Winthrop Eagles,Elon Phoenix,154.5,4,148,-6.5,6.5
2023-11-19,Miami Hurricanes,Kansas St Wildcats,157.2,13,174,16.80000000000001,16.80000000000001
2023-11-19,Wake Forest Demon Deacons,LSU Tigers,149.4,13,166,16.599999999999994,16.599999999999994
2023-11-19,Gardner-Webb Bulldogs,Yale Bulldogs,136.0,4,141,5.0,5.0
2023-11-19,Louisville Cardinals,Texas Longhorns,142.9,14,161,18.099999999999994,18.099999999999994
2023-11-19,Air Force Falcons,Omaha Mavericks,135.3,14,114,-21.30000000000001,21.30000000000001
2023-11-19,Ohio State Buckeyes,Western Michigan Broncos,141.6,14,129,-12.599999999999994,12.599999999999994
2023-11-19,Georgetown Hoyas,American Eagles,143.5,10,171,27.5,27.5
2023-11-19,San Francisco Dons,DePaul Blue Demons,142.7,14,124,-18.69999999999999,18.69999999999999
2023-11-19,Utah State Aggies,Marshall Thundering Herd,154.1,14,143,-11.099999999999994,11.099999999999994
2023-11-19,South Florida Bulls,Northern Iowa Panthers,144.1,14,139,-5.099999999999994,5.099999999999994
2023-11-19,Virginia Tech Hokies,Wofford Terriers,147.8,13,174,26.19999999999999,26.19999999999999
2023-11-19,Liberty Flames,Vermont Catamounts,133.5,13,132,-1.5,1.5
2023-11-19,Utah Utes,St. John's Red Storm,150.9,13,173,22.099999999999994,22.099999999999994
2023-11-19,Abilene Christian Wildcats,Fordham Rams,140.6,14,104,-36.599999999999994,36.599999999999994
2023-11-19,Michigan St Spartans,Alcorn St Braves,142.1,9,130,-12.099999999999994,12.099999999999994
2023-11-19,Arizona Wildcats,UT-Arlington Mavericks,154.6,14,157,2.4000000000000057,2.4000000000000057
2023-11-19,Missouri Tigers,Jackson St Tigers,145.2,8,145,-0.19999999999998863,0.19999999999998863
2023-11-20,Akron Zips,Florida Int'l Golden Panthers,145.4,14,148,2.5999999999999943,2.5999999999999943
2023-11-20,USC Trojans,Brown Bears,143.7,14,151,7.300000000000011,7.300000000000011
2023-11-20,Illinois Fighting Illini,Southern Jaguars,148.0,10,148,0.0,0.0
2023-11-20,Missouri St Bears,Kent State Golden Flashes,141.2,14,108,-33.19999999999999,33.19999999999999
2023-11-20,Houston Cougars,Dayton Flyers,130.6,14,124,-6.599999999999994,6.599999999999994
