Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
51,SMU,ACC,2-0,15.76,114.4,98.6,72.4
52,Villanova,BE,0-1,15.46,111.5,96.0,71.1
53,Virginia,ACC,1-0,15.34,114.2,98.9,69.9
54,Memphis,Amer,0-0,14.96,111.8,96.8,74.8
55,Boise St.,MWC,0-1,14.81,113.3,98.5,71.0
56,Oklahoma,SEC,1-0,14.6,114.4,99.8,72.4
57,Kansas St.,B12,1-0,14.37,112.3,97.9,73.9
58,Northwestern,B10,1-0,14.27,110.5,96.3,70.3
59,Wake Forest,ACC,1-0,14.14,112.6,98.4,73.4
60,VCU,A10,1-0,13.82,110.0,96.2,75.6
61,Miami FL,ACC,2-0,13.42,112.5,99.0,72.5
62,Syracuse,ACC,1-0,13.37,113.2,99.8,72.7
63,Pittsburgh,ACC,1-0,13.37,112.0,98.6,69.9
64,Providence,BE,1-0,13.28,112.8,99.6,72.6
65,Colorado St.,MWC,1-0,12.78,113.9,101.1,70.8
66,Butler,BE,1-0,12.42,111.4,99.0,72.7
67,Virginia Tech,ACC,1-0,12.28,112.3,100.0,71.7
68,Saint Louis,A10,2-0,12.16,111.8,99.7,75.2
69,Minnesota,B10,1-0,12.03,111.5,99.5,70.6
70,Oklahoma St.,B12,1-0,11.63,110.7,99.1,77.0
71,Notre Dame,ACC,1-0,11.37,111.1,99.8,69.6
72,UCF,B12,1-0,11.18,110.9,99.7,74.5
73,Arizona St.,B12,1-0,11.0,110.1,99.1,72.9
74,Nevada,MWC,1-0,10.95,109.0,98.1,69.4
75,DePaul,BE,1-0,10.78,110.4,99.6,71.6
76,Grand Canyon,MWC,1-0,10.75,110.8,100.0,73.7
77,George Washington,A10,1-0,10.66,111.1,100.4,71.7
78,West Virginia,B12,2-0,10.57,109.5,99.0,67.6
79,Rutgers,B10,1-0,10.55,107.6,97.0,71.9
80,Utah,B12,1-0,10.51,110.9,100.4,72.4
81,North Texas,Amer,2-0,10.48,108.2,97.8,68.6
