Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
119,Butler,BE,14-18,4.7,102.7,98.0,65.4
120,Temple,Amer,16-16,4.66,107.2,102.5,65.9
121,Eastern Washington,BSky,23-11,4.65,111.3,106.6,68.5
122,Mississippi,SEC,12-21,4.6,106.5,101.9,66.0
123,Kennesaw St. 14,ASun,26-9,4.04,105.9,101.8,68.4
124,Cal St. Fullerton,BW,20-13,4.03,104.5,100.5,64.7
125,Belmont,MVC,21-11,3.72,111.2,107.5,68.2
126,Penn,Ivy,17-13,3.72,110.5,106.8,66.8
127,Towson,CAA,21-12,3.65,108.0,104.4,64.8
128,Troy,SB,20-13,3.49,104.6,101.1,67.8
129,Duquesne,A10,20-13,3.43,108.4,104.9,68.1
130,Hawaii,BW,22-11,3.41,101.6,98.2,64.6
131,Youngstown St.,Horz,24-10,3.39,112.4,109.0,67.8
132,Stephen F. Austin,WAC,19-13,3.24,105.3,102.1,69.1
133,Ohio,MAC,19-14,3.12,110.5,107.4,68.3
134,UMass Lowell,AE,26-8,3.04,107.7,104.7,68.7
135,DePaul,BE,10-23,2.89,108.1,105.2,68.6
136,Samford,SC,21-11,2.89,109.1,106.2,68.2
137,Fordham,A10,25-8,2.56,103.0,100.4,69.6
138,Cornell,Ivy,17-11,2.45,112.3,109.8,71.1
139,Southern Illinois,MVC,23-10,2.45,101.0,98.5,63.7
140,Davidson,A10,16-16,2.42,107.2,104.8,65.0
141,Seattle,WAC,20-12,2.27,101.9,99.6,69.0
142,UC Riverside,BW,22-12,2.22,107.4,105.2,66.7
143,Fresno St.,MWC,11-20,2.18,103.0,100.8,64.1
144,George Mason,A10,20-13,1.44,102.4,100.9,66.2
145,South Florida,Amer,14-18,1.42,105.8,104.4,68.2
146,Utah Tech,WAC,14-19,1.34,107.7,106.4,68.4
147,Air Force,MWC,14-18,1.25,105.8,104.5,63.0
148,UNC Asheville 15,BSth,27-8,1.22,104.0,102.7,68.3
149,Eastern Kentucky,ASun,23-14,1.22,105.2,104.0,69.8
150,Richmond,A10,15-18,1.15,103.5,102.4,65.2
151,LSU,SEC,14-19,1.14,106.2,105.1,65.7
152,UNC Wilmington,CAA,24-10,1.13,102.3,101.2,65.2
153,Lipscomb,ASun,20-13,1.06,104.7,103.7,69.3
154,Georgia,SEC,16-16,1.05,104.1,103.1,67.6
155,Cal Baptist,WAC,17-16,0.98,103.5,102.6,63.9
156,Missouri St.,MVC,17-15,0.89,104.2,103.3,62.1
157,Portland,WCC,14-19,0.86,110.6,109.8,68.9
158,Harvard,Ivy,14-14,0.81,101.3,100.5,65.8
159,UC Davis,BW,18-14,0.71,104.4,103.7,70.4
160,Northern Kentucky 16,Horz,22-13,0.65,102.8,102.2,62.0
161,Georgia Tech,ACC,15-18,0.57,104.4,103.9,66.5
162,Wyoming,MWC,9-22,0.54,107.4,106.9,65.6
163,Tarleton St.,WAC,17-17,0.46,103.3,102.9,66.4
164,Montana,BSky,17-14,0.43,108.6,108.2,63.5
165,Louisiana Tech,CUSA,15-18,0.42,105.6,105.2,66.4
166,Notre Dame,ACC,11-21,0.4,108.8,108.4,64.8
167,Long Beach St.,BW,17-16,0.14,105.0,104.9,72.7
168,Radford,BSth,21-15,0.07,104.2,104.2,64.5
169,Longwood,BSth,20-12,0.04,104.3,104.2,65.8
170,Boston College,ACC,16-17,-0.04,102.6,102.6,66.4
171,Ball St.,MAC,20-12,-0.1,107.7,107.8,67.4
172,Stetson,ASun,17-14,-0.12,112.9,113.1,64.7
173,Western Kentucky,CUSA,17-16,-0.14,104.9,105.1,67.5
174,South Dakota St.,Sum,19-13,-0.31,104.7,105.0,66.5
175,Brown,Ivy,14-13,-0.35,100.9,101.2,69.2
176,Texas A&M Corpus Chris 16,Slnd,24-11,-0.48,107.1,107.6,69.0
177,Old Dominion,SB,19-12,-0.64,103.0,103.7,64.8
178,UTEP,CUSA,14-18,-0.7,99.3,100.0,66.9
179,Navy,Pat,18-13,-0.71,103.7,104.4,64.4
180,East Carolina,Amer,16-17,-0.73,103.2,103.9,67.3
181,Appalachian St.,SB,16-16,-0.76,101.2,101.9,64.8
