Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
268,Monmouth,CAA,13-20,-8.63,104.0,112.6,67.3
269,Alabama St. 16,SWAC,20-16,-8.87,101.5,110.4,68.1
270,Portland,WCC,12-20,-8.95,105.9,114.9,68.5
271,Stephen F. Austin,Slnd,14-17,-8.98,95.5,104.5,67.6
272,Houston Christian,Slnd,12-20,-9.06,100.9,109.9,65.0
273,Marist,MAAC,20-10,-9.13,97.2,106.4,64.3
274,Ball St.,MAC,14-17,-9.17,103.6,112.8,66.6
275,Albany,AE,17-16,-9.2,103.3,112.5,67.7
276,Navy,PL,15-19,-9.28,102.3,111.6,67.2
277,Eastern Michigan,MAC,16-16,-9.37,104.6,113.9,67.4
278,Texas Southern,SWAC,15-17,-9.53,96.7,106.3,70.1
279,Columbia,Ivy,12-15,-9.6,106.4,116.0,70.9
280,Austin Peay,ASun,14-19,-9.65,101.7,111.4,66.3
281,Idaho,BSky,14-19,-9.77,107.2,117.0,66.5
282,Old Dominion,SB,15-20,-10.21,100.3,110.5,66.2
283,Lehigh,PL,11-19,-10.22,100.7,111.0,67.5
284,Pacific,WCC,9-24,-10.36,101.5,111.8,66.6
285,LIU,NEC,17-16,-10.42,95.0,105.4,65.0
286,Bethune Cookman,SWAC,17-16,-10.45,97.5,108.0,69.2
287,VMI,SC,15-19,-10.49,100.3,110.8,68.4
288,Tarleton St.,WAC,12-20,-10.58,93.1,103.6,65.7
289,Bowling Green,MAC,14-18,-10.68,99.2,109.8,68.9
290,Western Michigan,MAC,12-20,-10.7,101.7,112.4,68.0
291,Lafayette,PL,13-20,-10.77,98.1,108.9,66.3
292,Tennessee Martin,OVC,14-19,-10.9,101.9,112.8,66.5
293,Southern Miss,SB,11-22,-11.03,97.9,108.9,71.0
294,Penn,Ivy,8-19,-11.1,104.0,115.1,67.1
295,Eastern Washington,BSky,10-22,-11.3,101.7,113.0,67.1
296,Southern Utah,WAC,12-19,-11.36,98.1,109.5,69.1
297,San Diego,WCC,6-27,-11.44,99.4,110.8,71.3
298,Saint Peter's,MAAC,12-16,-11.45,95.0,106.4,64.1
299,UMBC,AE,13-19,-11.56,106.5,118.1,70.6
300,Weber St.,BSky,12-22,-11.71,101.2,112.9,65.8
301,Utah Tech,WAC,7-26,-12.06,101.8,113.8,67.6
302,Charleston Southern,BSth,10-22,-12.13,99.7,111.9,67.5
303,Tennessee Tech,OVC,15-17,-12.28,101.0,113.2,68.0
304,Boston University,PL,16-16,-12.35,99.1,111.5,63.3
305,Loyola MD,PL,12-19,-12.42,100.5,113.0,66.8
306,Fairleigh Dickinson,NEC,13-20,-12.5,98.4,110.9,69.4
307,Delaware St.,MEAC,16-14,-12.55,101.8,114.4,70.5
308,Long Beach St.,BW,7-25,-12.56,101.7,114.3,64.3
309,Saint Francis 16,NEC,16-18,-12.76,99.7,112.5,67.1
310,Air Force,MWC,4-28,-12.76,98.9,111.7,64.6
311,Denver,Sum,11-21,-12.79,98.7,111.5,66.7
312,IU Indy,Horz,10-22,-12.98,109.8,122.8,65.0
313,Louisiana,SB,12-21,-13.2,98.1,111.3,66.4
314,Howard,MEAC,12-20,-13.27,103.8,117.0,70.2
315,Rider,MAAC,14-19,-13.31,101.8,115.1,65.0
316,Eastern Illinois,OVC,12-19,-13.31,93.7,107.0,66.4
317,Florida A&M,SWAC,14-17,-13.62,101.7,115.3,67.4
318,Army,PL,17-16,-13.67,100.2,113.9,68.0
319,Grambling St.,SWAC,12-22,-13.72,95.4,109.2,64.0
320,Binghamton,AE,15-17,-13.97,98.9,112.9,65.9
321,Holy Cross,PL,13-19,-13.99,101.9,115.9,66.2
322,Niagara,MAAC,11-20,-14.15,101.2,115.4,65.3
323,Stonehill,NEC,15-17,-14.24,101.0,115.2,65.2
324,North Carolina Central,MEAC,14-19,-14.41,102.8,117.2,67.0
325,Alcorn St.,SWAC,11-21,-14.52,97.8,112.3,64.9
326,East Texas A&M,Slnd,5-26,-14.59,96.9,111.5,67.5
327,Lindenwood,OVC,16-17,-14.66,94.3,108.9,69.8
328,Morehead St.,OVC,15-17,-14.69,97.8,112.5,64.2
329,Coastal Carolina,SB,10-22,-14.84,100.6,115.5,63.4
330,Oral Roberts,Sum,7-23,-15.03,102.9,117.9,67.5
331,Morgan St.,MEAC,14-18,-15.46,101.7,117.2,70.6
332,Green Bay,Horz,4-28,-15.72,101.0,116.7,69.1
333,Stony Brook,CAA,8-24,-15.87,101.9,117.8,64.6
334,Fairfield,MAAC,12-20,-16.01,98.2,114.2,66.2
335,Southern Indiana,OVC,10-20,-16.49,98.4,114.9,67.2
336,North Carolina A&T,CAA,7-25,-16.53,97.0,113.6,69.2
337,Detroit Mercy,Horz,8-24,-16.67,95.3,112.0,67.2
338,Western Carolina,SC,8-22,-16.99,95.3,112.3,70.6
339,Buffalo,MAC,9-22,-17.44,96.5,113.9,70.9
340,USC Upstate,BSth,6-26,-17.59,98.5,116.1,72.9
341,New Orleans,Slnd,4-27,-17.83,99.7,117.5,69.4
342,Mercyhurst,NEC,15-16,-17.89,98.9,116.8,64.9
343,Northern Illinois,MAC,6-25,-17.91,94.5,112.4,69.1
344,Louisiana Monroe,SB,7-25,-18.1,96.3,114.4,67.9
345,Western Illinois,OVC,12-19,-18.12,99.2,117.3,64.5
346,Wagner,NEC,14-16,-18.14,92.3,110.4,60.5
347,Bellarmine,ASun,5-26,-18.18,103.6,121.8,66.4
348,Sacramento St.,BSky,7-25,-18.24,95.3,113.5,65.8
349,Central Arkansas,ASun,9-24,-18.65,97.5,116.2,66.6
350,West Georgia,ASun,6-25,-18.79,96.7,115.5,68.2
351,Cal St. Fullerton,BW,6-26,-18.87,93.8,112.6,68.3
352,Stetson,ASun,8-24,-19.8,99.2,119.0,67.8
353,NJIT,AE,6-25,-20.41,93.3,113.7,66.7
354,Le Moyne,NEC,9-23,-20.7,101.3,122.0,68.8
355,The Citadel,SC,5-25,-21.7,95.1,116.8,64.8
356,New Hampshire,AE,8-24,-21.72,93.9,115.6,67.6
357,Prairie View A&M,SWAC,5-27,-21.97,95.8,117.8,70.4
358,Maryland Eastern Shore,MEAC,6-25,-22.62,95.9,118.5,65.8
359,Canisius,MAAC,3-28,-23.01,99.1,122.1,66.4
360,Alabama A&M,SWAC,10-22,-23.36,92.2,115.6,71.2
361,Coppin St.,MEAC,6-24,-24.4,87.4,111.8,68.0
362,Chicago St.,NEC,4-28,-24.4,91.9,116.3,68.5
363,Arkansas Pine Bluff,SWAC,6-25,-25.94,95.3,121.2,71.6
364,Mississippi Valley St.,SWAC,3-28,-42.12,82.7,124.9,65.0
