date,player_name,team,opponent,prop_type,market_line,actual_value,hit,difference,timestamp
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",assists,1.5,1.0,0,-0.5,"2025-11-14 21:31:54"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",assists,2.5,0.0,0,-2.5,"2025-11-14 23:04:20"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",threes,2.5,0.0,0,-2.5,"2025-11-14 21:30:06"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",steals,0.5,0.0,0,-0.5,"2025-11-14 21:30:02"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",rebounds,2.5,0.0,0,-2.5,"2025-11-14 21:29:52"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",PRA,14.5,0.0,0,-14.5,"2025-11-14 21:29:38"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",points,11.5,0.0,0,-11.5,"2025-11-14 21:29:20"
2025-11-13,"Sam Merrill","Cleveland Cavaliers","Toronto Raptors",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:29:14"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",threes,1.5,0.0,0,-1.5,"2025-11-14 21:30:10"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",steals,0.5,0.0,0,-0.5,"2025-11-14 21:30:05"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",rebounds,4.5,0.0,0,-4.5,"2025-11-14 21:29:46"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",PRA,14.5,0.0,0,-14.5,"2025-11-14 21:29:41"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",points,8.5,0.0,0,-8.5,"2025-11-14 21:29:29"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:29:19"
2025-11-13,"Sandro Mamukelashvili","Cleveland Cavaliers","Toronto Raptors",assists,1.5,0.0,0,-1.5,"2025-11-14 21:29:08"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",blocks,0.5,1.0,1,0.5,"2025-11-14 21:33:00"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",threes,0.5,0.0,0,-0.5,"2025-11-14 21:32:49"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",steals,0.5,1.0,1,0.5,"2025-11-14 21:32:39"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",rebounds,2.5,6.0,1,3.5,"2025-11-14 21:32:28"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",PRA,15.5,13.0,0,-2.5,"2025-11-14 21:32:16"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",points,9.5,4.0,0,-5.5,"2025-11-14 21:32:01"
2025-11-13,"T.J. McConnell","Phoenix Suns","Indiana Pacers",assists,3.5,3.0,0,-0.5,"2025-11-14 21:31:41"
