game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,z_score,abs_z_score,is_alert,confidence,bet_direction,simulated_live_line,bet_wins,pnl
22400390,2024-25,2024-12-22,NOP,,261,129,132,208.29784,228.62637,247.53633,15.327538,2.1121218350720827,2.1121218350720827,True,MEDIUM,UNDER,251.28791198730468,False,-110
22400424,2024-25,2024-12-27,DEN,,284,135,149,212.86617,234.2644,257.299,17.35658,2.865518068600494,2.865518068600494,True,HIGH,UNDER,269.0793212890625,False,-110
22400425,2024-25,2024-12-27,PHX,,187,89,98,200.98021,229.35495,249.35849,18.897766,-2.241267549681708,2.241267549681708,True,MEDIUM,OVER,199.70648498535155,False,-110
22400467,2024-25,2025-01-02,GSW,,244,139,105,206.21928,215.00537,239.75122,13.098413,2.213598538357131,2.213598538357131,True,MEDIUM,UNDER,235.301611328125,False,-110
22400476,2024-25,2025-01-03,SAC,,271,138,133,214.17908,234.97278,253.93483,15.529592,2.3199078700588562,2.3199078700588562,True,MEDIUM,UNDER,260.19183349609375,False,-110
22400489,2024-25,2025-01-05,WAS,,208,98,110,210.26451,237.23729,247.49005,14.541227,-2.0106479833982855,2.0106479833982855,True,MEDIUM,OVER,216.77118682861328,False,-110
22400633,2024-25,2025-01-25,IND,SAS,272,136,136,213.8025,236.8874,257.84714,17.204935,2.040844353888617,2.040844353888617,True,MEDIUM,UNDER,261.46622161865236,False,-110
22400656,2024-25,2025-01-27,MIN,,192,100,92,200.80016,230.23727,247.95486,18.41981,-2.0758778476559407,2.0758778476559407,True,MEDIUM,OVER,203.47118225097657,False,-110
22400670,2024-25,2025-01-29,NOP,,273,136,137,205.45468,226.87183,243.43547,14.8362465,3.109153912866624,3.109153912866624,True,HIGH,UNDER,259.1615478515625,False,-110
22400753,2024-25,2025-02-09,HOU,,181,94,87,194.93279,222.49397,247.73596,20.626242,-2.011707872626557,2.011707872626557,True,MEDIUM,OVER,193.44819183349608,False,-110
22400773,2024-25,2025-02-12,NYK,,297,149,148,215.75963,242.82034,275.95547,23.514004,2.3041442686672977,2.3041442686672977,True,MEDIUM,UNDER,280.74610290527346,False,-110
22400785,2024-25,2025-02-13,NOP,,273,140,133,209.73558,229.2297,250.13448,15.780819,2.773638957399198,2.773638957399198,True,HIGH,UNDER,259.86891174316406,False,-110
22400814,2024-25,2025-02-23,ATL,,291,143,148,216.24947,242.23114,270.6342,21.244032,2.295649906702205,2.295649906702205,True,MEDIUM,UNDER,276.3693420410156,False,-110
22400832,2024-25,2025-02-25,MEM,,299,151,148,215.69907,235.39862,278.14038,24.39114,2.607560755090209,2.607560755090209,True,HIGH,UNDER,279.9195861816406,False,-110
22400909,2024-25,2025-03-07,DEN,,290,149,141,214.8495,234.15695,272.90012,22.676022,2.4626475111041803,2.4626475111041803,True,MEDIUM,UNDER,273.24708557128906,False,-110
22400964,2024-25,2025-03-14,SAS,,279,134,145,206.87251,228.56413,264.01538,22.321434,2.259526303826586,2.259526303826586,True,MEDIUM,UNDER,263.8692398071289,False,-110
22400974,2024-25,2025-03-15,GSW,,191,97,94,207.05351,225.05118,248.061,16.018553,-2.1257337317456377,2.1257337317456377,True,MEDIUM,OVER,201.2153533935547,False,-110
22400985,2024-25,2025-03-17,HOU,,281,144,137,207.89084,229.26982,273.72827,25.717749,2.01145829493766,2.01145829493766,True,MEDIUM,UNDER,265.48094635009767,False,-110
22400997,2024-25,2025-03-18,LAC,,251,132,119,209.09642,222.11337,244.97491,14.015038,2.0611166485844423,2.0611166485844423,True,MEDIUM,UNDER,242.33401184082032,False,-110
22400998,2024-25,2025-03-19,IND,,266,135,131,212.14159,230.77882,251.53204,15.386898,2.2890368191258244,2.2890368191258244,True,MEDIUM,UNDER,255.43364715576172,False,-110
22401183,2024-25,2025-04-11,POR,,189,86,103,202.15257,225.5381,246.79344,17.43784,-2.0953341828503302,2.0953341828503302,True,MEDIUM,OVER,199.96143035888673,False,-110
